wellID,carbon_source
A1,water
A2,b-methyl-d-glucoside
A3,d-galactonic_acid_g-lactone
A4,l-arginine
A5,water
A6,b-methyl-d-glucoside
A7,d-galactonic_acid_g-lactone
A8,l-arginine
A9,water
A10,b-methyl-d-glucoside
A11,d-galactonic_acid_g-lactone
A12,l-arginine
B1,pyruvic_acid_methyl_ester
B2,d-xylose
B3,d-galacturonic_acid
B4,l-asparagine
B5,pyruvic_acid_methyl_ester
B6,d-xylose
B7,d-galacturonic_acid
B8,l-asparagine
B9,pyruvic_acid_methyl_ester
B10,d-xylose
B11,d-galacturonic_acid
B12,l-asparagine
C1,tween40
C2,i-erythritol
C3,2-hydroxy_benzoic_acid
C4,l-phenylalanine
C5,tween40
C6,i-erythritol
C7,2-hydroxy_benzoic_acid
C8,l-phenylalanine
C9,tween40
C10,i-erythritol
C11,2-hydroxy_benzoic_acid
C12,l-phenylalanine
D1,tween80
D2,d-mannitol
D3,4-hydroxy_benzoic_acid
D4,l-serine
D5,tween80
D6,d-mannitol
D7,4-hydroxy_benzoic_acid
D8,l-serine
D9,tween80
D10,d-mannitol
D11,4-hydroxy_benzoic_acid
D12,l-serine
E1,a-cyclodextrin
E2,n-acetyl-d-glucosamine
E3,g-amino_butyric_acid
E4,l-threonine
E5,a-cyclodextrin
E6,n-acetyl-d-glucosamine
E7,g-amino_butyric_acid
E8,l-threonine
E9,a-cyclodextrin
E10,n-acetyl-d-glucosamine
E11,g-amino_butyric_acid
E12,l-threonine
F1,glycogen
F2,d-glucosaminic_acid
F3,itaconic_acid
F4,glycyl-l-glutamic_acid
F5,glycogen
F6,d-glucosaminic_acid
F7,itaconic_acid
F8,glycyl-l-glutamic_acid
F9,glycogen
F10,d-glucosaminic_acid
F11,itaconic_acid
F12,glycyl-l-glutamic_acid
G1,d-cellobiose
G2,glucose-1-phosphate
G3,a-keto_butyric_acid
G4,phenylethyl-amine
G5,d-cellobiose
G6,glucose-1-phosphate
G7,a-keto_butyric_acid
G8,phenylethyl-amine
G9,d-cellobiose
G10,glucose-1-phosphate
G11,a-keto_butyric_acid
G12,phenylethyl-amine
H1,a-d-lactose
H2,"d,l-a-glycerol-phosphate"
H3,d-malic_acid
H4,putrescine
H5,a-d-lactose
H6,"d,l-a-glycerol-phosphate"
H7,d-malic_acid
H8,putrescine
H9,a-d-lactose
H10,"d,l-a-glycerol-phosphate"
H11,d-malic_acid
H12,putrescine
