Team,Well,Fluor,Target,Content,Sample,dilution,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
1-Goat,A01,SYBR,blaTEM,Unkn,tube 1,10^8,10.02304913,10.02304913,0,NaN,NaN,NaN,0,60,
1-Goat,A02,SYBR,blaTEM,Unkn,tube 1,10^8,9.822954354,9.822954354,0,NaN,NaN,NaN,0,60,
2-Indie,A03,SYBR,blaTEM,Unkn,tube 1,10^8,11.0696888,11.0696888,0,NaN,NaN,NaN,0,60,
2-Indie,A04,SYBR,blaTEM,Unkn,tube 1,10^8,9.07342358,9.07342358,0,NaN,NaN,NaN,0,60,
3-musk,A05,SYBR,blaTEM,Unkn,tube 1,10^8,32.92429836,32.92429836,0,NaN,NaN,NaN,0,60,
1-Goat,A06,SYBR,blaTEM,Unkn,T1-gDNA,S2-rep1,30.73720139,30.73720139,0,NaN,NaN,NaN,0,60,
4-unicorn,A07,SYBR,tetW,Unkn,tube 1,10^8,10.42632888,10.42632888,0,NaN,NaN,NaN,0,60,
4-unicorn,A08,SYBR,tetW,Unkn,tube 1,10^8,9.919474643,9.919474643,0,NaN,NaN,NaN,0,60,
5-okazaki,A09,SYBR,tetW,Unkn,tube 1,10^8,11.67427159,11.67427159,0,NaN,NaN,NaN,0,60,
5-okazaki,A10,SYBR,tetW,Unkn,tube 1,10^8,11.60716621,11.60716621,0,NaN,NaN,NaN,0,60,
6-waffle,A11,SYBR,tetW,Unkn,tube 1,10^8,32.60365573,32.60365573,0,NaN,NaN,NaN,0,60,
4-unicorn,A12,SYBR,tetW,Unkn,T4-gDNA,ID-DO,33.24891846,33.24891846,0,NaN,NaN,NaN,0,60,
1-Goat,B01,SYBR,blaTEM,Unkn,tube 3,10^6,17.00594098,17.00594098,0,NaN,NaN,NaN,0,60,
1-Goat,B02,SYBR,blaTEM,Unkn,tube 3,10^6,16.80530096,16.80530096,0,NaN,NaN,NaN,0,60,
2-Indie,B03,SYBR,blaTEM,Unkn,tube 3,10^6,20.51761896,20.51761896,0,NaN,NaN,NaN,0,60,
2-Indie,B04,SYBR,blaTEM,Unkn,tube 3,10^6,18.56516072,18.56516072,0,NaN,NaN,NaN,0,60,
3-musk,B05,SYBR,blaTEM,Unkn,tube 3,10^6,33.01412029,33.01412029,0,NaN,NaN,NaN,0,60,
1-Goat,B06,SYBR,blaTEM,Unkn,T1-gDNA,S2-rep2,32.19430031,32.19430031,0,NaN,NaN,NaN,0,60,
